127.0.0.1 - - [23/Mar/2023:06:20:58 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:20:59 -0300] "GET /smartcities/ HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:20:59 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:21:06 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:22:44 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:24:18 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:24:27 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:25:29 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:27:14 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:27:37 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:28:43 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:38:57 -0300] "GET /smartcities/parking/listAll;jsessionid=84FFB896EE69F55C68DDD2DD107BB3EF HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:39:06 -0300] "POST /smartcities/parking/delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:39:07 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4347
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:39:11 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4347
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:39:49 -0300] "POST /smartcities/parking/delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:39:49 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:49 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:40:51 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:41:37 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:05 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2844
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:09 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:19 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:43 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:50 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:43:52 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2844
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:44:52 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:44:55 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:44:58 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:45:05 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:45:19 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:45:45 -0300] "POST /smartcities/parking/subscribe HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:45:55 -0300] "POST /smartcities/parking/subscribe HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:45:55 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:46:04 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:46:07 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:48:32 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:49:07 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:49:09 -0300] "GET /smartcities/parking/subscribe HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:06:49:11 -0300] "GET /smartcities/parking/listAll HTTP/1.1" 200 4352
